KodeBPS,KodeProv,NamaProv,KabKot,Kategori,Produk,Harga,Tahun,Bulan
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,143864,2022,Januari
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,143393,2022,Februari
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,142000,2022,Maret
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,159600,2022,April
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,165333,2022,Mei
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,155185,2022,Juni
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,158269,2022,Juli
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150000,2022,Agustus
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,149333,2022,September
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,149355,2022,Oktober
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150000,2022,November
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150000,2022,Desember
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,143529,2023,Januari
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,140000,2023,Februari
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150000,2023,Maret
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,151600,2023,April
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150000,2023,Mei
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150714,2023,Juni
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150690,2023,Juli
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150000,2023,Agustus
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150000,2023,September
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,148387,2023,Oktober
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,141000,2023,November
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,140000,2023,Desember
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,148182,2024,Januari
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,145965,2024,Februari
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150678,2024,Maret
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150714,2024,April
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,149661,2024,Mei
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,151923,2024,Juni
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150000,2024,Juli
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,149355,2024,Agustus
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,149167,2024,September
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,146290,2024,Oktober
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,147797,2024,November
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,149828,2024,Desember
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,147890,2025,Januari
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,153267,2025,Februari
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,150250,2025,Maret
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,144805,2025,April
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,143750,2025,Mei
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,142157,2025,Juni
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,143918,2025,Juli
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,143832,2025,Agustus
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,145575,2025,September
11.05,11,Aceh,Kab. Aceh Barat,Protein,Daging Sapi Murni,144407,2025,Oktober
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,157692,2022,Januari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,150435,2022,Februari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,154615,2022,Maret
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,152857,2022,April
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,NA,2022,Mei
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,146000,2022,Juni
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,130000,2022,Juli
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,NA,2022,Agustus
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,NA,2022,September
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,NA,2022,Oktober
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,NA,2022,November
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,160000,2022,Desember
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,160000,2023,Januari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,160000,2023,Februari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,169677,2023,Maret
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,184400,2023,April
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,162000,2023,Mei
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,173929,2023,Juni
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,Juli
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,Agustus
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,September
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,Oktober
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,November
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2023,Desember
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Januari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Februari
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,175484,2024,Maret
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,172222,2024,April
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Mei
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,177778,2024,Juni
11.12,11,Aceh,Kab. Aceh Barat Daya,Protein,Daging Sapi Murni,170000,2024,Juli
